goal_id,game_id,fk_goal_player,fk_assist_player1,fk_assist_player2,goal_time
goal1,g1,p20,p9,p18,00:19:32
goal2,g1,p20,p14,,00:31:21
goal3,g1,p9,p7,,00:42:13
goal4,g1,p9,p14,,00:51:15
goal5,g1,p22,p6,p13,00:55:47
goal6,g3,p18,p13,,00:28:18
goal7,g3,p18,p6,p14,00:31:19
goal8,g4,p18,p3,p12,00:04:16
goal9,g4,p12,p20,p15,00:07:46
goal10,g4,p22,p7,p8,00:34:23
goal11,g4,p19,p13,p15,00:37:20
goal12,g6,p21,p18,p20,00:38:42
goal13,g6,p8,p6,,00:49:35
goal14,g6,p8,p2,,00:52:13
goal15,g6,p23,,,01:05:00
goal16,g7,p18,p13,p6,00:58:05
goal17,g8,p17,p6,,00:29:08
goal18,g8,p18,p22,p13,00:52:07
goal19,g8,p18,p22,p20,00:59:35
goal20,g8,p2,p17,,00:59:54
goal21,g9,p9,p13,p20,00:25:18
goal22,g9,p9,p22,,00:51:07
goal23,g10,p14,p6,p17,00:04:33
goal24,g10,p22,p13,p11,00:08:56
goal25,g10,p18,p13,,00:53:17
goal26,g10,p6,p18,p9,01:03:26
goal27,g11,p19,p3,p18,00:13:45
goal28,g11,p19,p3,p14,00:26:17
goal29,g12,p2,p16,p17,00:28:25
goal30,g12,p17,p11,p6,00:51:48
goal31,g13,p17,p8,,00:07:37
goal32,g13,p9,p10,,00:09:22
goal33,g13,p3,p9,p20,00:46:24
goal34,g13,p18,p22,p20,00:51:24
goal35,g13,p9,p17,,00:53:09
goal36,g14,p17,p22,,00:04:54
goal37,g14,p3,p14,p2,00:58:22
goal38,g15,p3,p8,p17,00:26:38
goal39,g15,p18,,,00:46:09
goal40,g16,p10,p19,p14,00:11:09
goal41,g16,p6,p14,p19,00:24:34
goal42,g16,p8,p19,p14,00:29:58
goal43,g16,p10,p14,p8,00:37:34
goal44,g16,p22,p12,p18,00:38:32
goal45,g16,p20,p18,p14,00:59:52
goal46,g16,p23,,,01:05:00
goal47,g17,p5,p21,p11,00:07:40
goal48,g17,p14,p18,p3,00:11:26
goal49,g17,p10,p8,,00:12:57
goal50,g17,p22,p5,p20,00:22:35
goal51,g17,p18,p20,p3,00:49:04
goal52,g18,p20,p5,,00:29:44
goal53,g18,p5,p6,p22,00:33:08
goal54,g19,p12,p5,p6,00:07:46
goal55,g19,p8,p18,p12,00:15:45
goal56,g19,p22,p5,,00:29:41
goal57,g19,p18,p6,p8,00:37:51
goal58,g19,p5,p12,p22,00:55:42
goal59,g19,p5,p22,p6,00:57:47
