game_id,date,fk_team1,fk_team2,team1_shots,team2_shots,team1_goals,team2_goals,team1_penalties,team2_penalties,away_home
g1,21/09/2019,t2,t6,26,20,5,4,8,16,home
g2,22/09/2019,t2,t6,23,38,0,3,40,22,away
g3,28/09/2019,t2,t1,15,33,2,4,8,10,away
g4,29/09/2019,t2,t4,32,27,4,3,33,43,home
g5,05/10/2019,t2,t9,30,40,0,5,12,12,away
g6,06/10/2019,t2,t5,27,25,4,3,57,16,home
g7,13/10/2019,t2,t9,19,34,1,2,10,8,home
g8,19/10/2019,t2,t5,52,30,4,3,44,86,away
g9,20/10/2019,t2,t1,34,36,2,9,26,12,home
g10,26/10/2019,t2,t10,31,33,4,3,12,12,home
g11,27/10/2019,t2,t7,28,26,2,3,4,26,home
g12,02/11/2019,t2,t6,39,32,2,3,10,12,home
g13,03/11/2019,t2,t7,35,26,5,6,50,20,away
g14,09/11/2019,t2,t5,28,34,2,7,8,10,away
g15,10/11/2019,t2,t1,23,27,2,3,24,8,home
g16,17/11/2019,t2,t3,38,41,7,6,26,6,home
g17,23/11/2019,t2,t1,34,29,5,3,90,86,away
g18,24/11/2019,t2,t9,38,27,2,4,22,28,home
g19,30/11/2019,t2,t6,28,33,6,2,12,8,away
