goal_id,game_id,time,fk_goal_player,fk_assist_player1,fk_assist_player2
goal1,g1,19:32,p20,p9,p18
goal2,g1,31:21,p20,p14,
goal3,g1,42:13,p9,p7,
goal4,g1,51:15,p9,p14,
goal5,g1,55:47,p22,p6,p13
goal6,g3,28:18,p18,p13,
goal7,g3,31:19,p18,p6,p14
goal8,g4,4:16,p18,p3,p12
goal9,g4,7:46,p12,p20,p15
goal10,g4,34:23,p22,p7,p8
goal11,g4,37:20,p19,p13,p15
goal12,g6,38:42,p21,p18,p20
goal13,g6,49:35,p8,p6,
goal14,g6,52:13,p8,p2,
goal15,g6,65:00,bench,,
goal16,g7,58:05,p18,p13,p6
goal17,g8,29:08,p17,p6,
goal18,g8,52:07,p18,p22,p13
goal19,g8,59:35,p18,p22,p20
goal20,g8,59:54,p2,p17,
goal21,g9,25:18,p9,p13,p20
goal22,g9,51:07,p9,p22,
goal23,g10,4:33,p14,p6,p17
goal24,g10,8:56,p22,p13,p11
goal25,g10,53:17,p18,p13,
goal26,g10,63:26,p6,p18,p9
goal27,g11,13:45,p19,p3,p18
goal28,g11,26:17,p19,p3,p14
goal29,g12,28:25,p2,p16,p17
goal30,g12,51:48,p17,p11,p6
goal31,g13,7:37,p17,p8,
goal32,g13,9:22,p9,p10,
goal33,g13,46:24,p3,p9,p20
goal34,g13,51:24,p18,p22,p20
goal35,g13,53:09,p9,p17,
goal36,g14,4:54,p17,p22,
,g14,58:22,p3,p14,p2
,g15,26:38,p3,p8,p17
,g15,46:09,p18,,
,g16,11:09,p10,p19,p14
,g16,24:34,p6,p14,p19
,g16,29:58,p8,p19,p14
,g16,37:34,p10,p14,p8
,g16,38:32,p22,p12,p18
,g16,59:52,p20,p18,p14
,g16,65:00,bench,,
,g17,7:40,p5,p21,p11
,g17,11:26,p14,p18,p3
,g17,12:57,p10,p8,
,g17,22:35,p22,p5,p20
,g17,49:04,p18,p20,p3
,g18,29:44,p20,p5,
,g18,33:08,p5,p6,p22
,g19,7:46,p12,p5,p6
,g19,15:45,p8,p18,p12
,g19,29:41,p22,p5,
,g19,37:51,p18,p6,p8
,g19,55:42,p5,p12,p22
,g19,57:47,p5,p22,p6
