comp_day,date,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10
d1,2019-09-15,0,0,0,0,0,0,0,3,0,3
d2,2019-09-21,3,3,3,0,0,0,0,0,0,0
d3,2019-09-22,0,0,2,0,0,3,3,3,1,3
d4,2019-09-28,3,0,3,0,3,0,0,0,3,3
d5,2019-09-29,0,3,0,0,0,3,0,3,1,2
d6,2019-10-05,3,0,0,0,0,0,3,3,3,0
d7,2019-10-06,0,2,0,0,1,3,3,3,0,3
d8,2019-10-12,3,0,0,0,0,3,0,0,3,3
d9,2019-10-13,0,1,0,3,0,3,0,3,2,3
d10,2019-10-18,0,0,0,0,0,0,0,0,3,0
d11,2019-10-19,1,3,2,0,0,3,0,0,3,3
d12,2019-10-20,3,0,2,1,3,1,0,0,0,2
d13,2019-10-25,0,0,0,3,0,0,0,0,0,0
d14,2019-10-26,0,2,0,0,0,3,0,0,3,1
d15,2019-10-27,0,0,3,3,0,0,3,0,3,3
d16,2019-11-02,2,0,0,0,1,3,0,0,3,3
d17,2019-11-03,3,0,2,0,0,0,3,3,3,1
d18,2019-11-09,2,0,3,0,3,0,0,3,3,1
d19,2019-11-10,3,0,0,0,3,3,0,0,3,3
d20,2019-11-16,0,0,3,2,0,0,3,1,0,3
d21,2019-11-17,2,0,0,0,0,3,1,3,0,3
d22,2019-11-23,0,3,3,0,0,3,1,0,3,2
d23,2019-11-24,0,0,3,0,0,3,3,0,3,0
d24,2019-11-29,3,0,0,0,0,0,0,0,0,0
d25,2019-11-30,3,3,1,0,2,0,0,0,0,3
