date	t1	t2	t3	t4	t5	t6	t7	t8	t9	t10
15/09/2019								3	3	
21/09/2019	3	3	3							
22/09/2019			2			3	3	3	1	3
28/09/2019	3		3		3				3	3
29/09/2019		3				3		3	1	2
05/10/2019	3						3	3	3	
06/10/2019		2			1	3	3	3		3
12/10/2019	3					3			3	3
13/10/2019		1		3		3		3	2	3
18/10/2019									3	
19/10/2019	1	3	2			3			3	3
20/10/2019	3		2	1	3	1				2
25/10/2019				3						
26/10/2019		2				3			3	1
27/10/2019			3	3			3		3	3
02/11/2019	2				1	3			3	3
03/11/2019	3		2				3	3	3	1
09/11/2019	2		3		3			3	3	1
10/11/2019	3				3	3			3	3
16/11/2019			3	2			3	1		3
17/11/2019	2					3	1	3		3
23/11/2019		3	3			3	1		3	2
24/11/2019			3			3	3		3	
29/11/2019	3									
30/11/2019	3	3	1		2					3
